dataset,budget,evaluated,metric,target_only,unary,pairwise,pairwise_minus_unary,pairwise_minus_target
MATH500,8,128,accuracy,0.7734375,0.78125,0.8046875,0.0234375,0.03125
MATH500,16,128,accuracy,0.7734375,0.7890625,0.796875,0.0078125,0.0234375
MATH500,32,128,accuracy,0.7734375,0.8203125,0.7890625,-0.03125,0.015625
MATH500,64,128,accuracy,0.7734375,0.78125,0.7734375,-0.0078125,0.0
HumanEval,8,164,pass_at_1,0.8597560975609756,0.8536585365853658,0.8414634146341463,-0.012195121951219523,-0.018292682926829285
HumanEval,16,164,pass_at_1,0.8597560975609756,0.8536585365853658,0.8475609756097561,-0.0060975609756097615,-0.012195121951219523
HumanEval,32,164,pass_at_1,0.8597560975609756,0.8292682926829268,0.8536585365853658,0.024390243902439046,-0.0060975609756097615
HumanEval,64,164,pass_at_1,0.8597560975609756,0.8475609756097561,0.8536585365853658,0.0060975609756097615,-0.0060975609756097615
