dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B7,Sequential-Baseline,7,,4,101.56436897444345,92.3575859383689,111.32709634301476,190.878742030528,nan,nan,nan,4,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B16,Sequential-Baseline,16,,4,117.28296169222872,105.10285735293297,129.46306603152448,220.41290762660537,nan,nan,nan,4,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B32,Sequential-Baseline,32,,4,123.62555081170879,116.36415171503953,128.3557930920898,232.3710047671831,nan,nan,nan,4,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B64,Sequential-Baseline,64,,4,136.7328480795428,126.5817031107966,142.44298038292843,257.0033151423958,nan,nan,nan,4,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Unary-K16-B32,Sequential-Baseline,32,,4,116.58610142908347,107.08117683048414,125.26466842734075,219.1211978059803,nan,nan,nan,4,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Unary-K16-B64,Sequential-Baseline,64,,4,118.85637026927023,104.75980466480323,133.1441959150055,223.3865425101076,nan,nan,nan,4,0,0
HumanEval,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,4,14.739335320548221,-7.496262963191164,36.97493360428761,11.243078135694685,nan,nan,nan,2,0,2
HumanEval,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,4,13.392219834576935,10.491872762807247,16.29256690634662,10.463752709534344,nan,nan,nan,4,0,0
HumanEval,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,4,13.712353675229568,-1.5890916925360195,27.13647378146863,8.892225496768866,nan,nan,nan,3,0,1
HumanEval,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,4,16.155335344622987,5.810996330608948,28.572623854216587,12.472759438061383,nan,nan,nan,4,0,0
HumanEval,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,4,8.378982147624342,-2.570026791512859,19.551825514401198,8.699761452235238,nan,nan,nan,3,0,1
HumanEval,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,4,14.659602762498128,0.48820637699407854,26.092514376402487,9.486039359213152,nan,nan,nan,3,0,1
HumanEval,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,64,64,4,8.842779132732197,-0.9996914200186922,20.365531820747087,6.818071501608516,nan,nan,nan,3,0,1
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,,4,-52.295638634565364,-70.68929184507375,-28.539956628099727,-23.84284494919684,-0.996461722675657,-1.4017370762165626,-0.4925555639561232,0,0,4
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,16,4,-75.7696091900348,-103.91046083631818,-45.620959883742415,-31.525800813449035,-1.441480123516679,-2.018823161241518,-0.8680323129215903,0,0,4
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,32,,4,-47.71923647729669,-72.11212556219782,-23.32634739239556,-21.474126651284216,-0.9092684122773449,-1.4060562461423136,-0.4124805784123762,0,0,4
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,32,32,4,-76.31242092595737,-96.93897538181433,-63.0159575946128,-32.12090745689645,-1.449198356768588,-1.9042234803383498,-1.1970411818695772,0,0,4
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,64,,4,-46.14970178946129,-77.76308969699437,-14.511911421303871,-19.493453728219105,-0.8795649354437486,-1.5360120395005352,-0.2254128315122036,0,0,4
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,64,64,4,-98.73742596957142,-135.9523986230458,-68.97986546319758,-36.70760084619215,-1.8765222413090106,-2.652999134347349,-1.261396180644066,0,0,4
