dataset,is_primary,comparison_type,left_method,right_method,prompts,matched_tokens_gain,committed_tokens_gain,target_calls_avoided,draft_stage_ms_per_call_left,draft_stage_ms_per_call_right,draft_stage_ms_per_call_change,tree_overhead_ms_per_call,verify_stage_ms_per_call_left,verify_stage_ms_per_call_right,verify_stage_ms_per_call_change,net_tokens_per_second_gain
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,4,-5.78989898989899,-5.868181818181818,-3.75,6.857683353536061,3.9981877285703553,2.8594956249657053,1.1485717070868564,20.268157994938218,20.33393048928015,-0.06577249434193178,-174.61245557369537
MT-Controlled,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,4,0.12663758130089398,0.1088010417538281,1.0,7.030670975271959,7.036204666746795,-0.005533691474836289,0.11369277242818993,20.390425468135565,20.397714335791015,-0.007288867655450559,1.1838961769615715
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,4,0.0773913259961801,0.07323431734291641,2.0,7.1183251026701,7.117860453731613,0.00046464893848785493,0.08067027102492397,20.309723852414162,20.260958630714292,0.04876522169987041,1.843121794553987
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,4,0.13883256201031124,0.12672938740713702,0.5,7.03685682738714,7.020054646359337,0.01680218102780362,-0.15616922136167669,20.459434564567427,20.504241236353323,-0.0448066717858957,3.494308390374158
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,4,0.18153546659738623,0.15058841120180133,1.75,6.84494737594148,6.8768017979835765,-0.03185442204209643,-1.4517065226741759,20.57129678241653,20.44518478629949,0.12611199611703938,9.621953637730972
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,4,0.32598093668585204,0.31913775255229515,6.0,7.1183251026701,6.4990414404474395,0.619283662222661,0.7358442531042919,20.309723852414162,21.25648866947243,-0.9467648170582663,8.271548617334862
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,4,0.15591214158989075,0.1503780360557857,0.75,7.03685682738714,7.028218649434294,0.008638177952846604,0.13857354380907388,20.459434564567427,20.47897009347881,-0.019535528911383437,3.526371390892848
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,4,0.1931841006810408,0.162014228886169,1.75,6.84494737594148,6.826572768198298,0.01837460774318167,0.18715890084441797,20.57129678241653,20.316270216320753,0.25502656609577556,3.2559071753195
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,4,-0.00409724809519596,-0.051131782629730727,7.25,7.030670975271959,4.336697992975045,2.6939729822969136,0.9109394263158538,20.390425468135565,21.301795361570907,-0.9113698934353422,-6.2730530962733795
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,4,-0.6315160748984279,-0.6785506094329625,-0.5,7.030670975271959,4.243738563465958,2.786932411806001,0.42633659179645134,20.390425468135565,20.3082339948059,0.08219147332966514,-22.574621753657578
