dataset,family,method,method_key,prompts,exact_output_rate,truncated_rate,stopped_rate
MT-Controlled,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,4,1.0,0.875,0.125
MT-Controlled,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,4,0.875,0.875,0.125
MT-Controlled,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,4,0.875,0.875,0.125
MT-Controlled,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,4,1.0,0.875,0.125
MT-Controlled,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,4,0.875,0.875,0.125
MT-Controlled,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,4,1.0,0.875,0.125
MT-Native,original,Sequential-Baseline,baseline,4,nan,0.875,0.125
MT-Native,original,Raw-DFlash,dflash,4,1.0,0.875,0.125
MT-Native,original,DFlash-Original-DDTree-B16,ddtree_tb16,4,1.0,0.875,0.125
MT-Native,original,DFlash-Original-DDTree-B32,ddtree_tb32,4,1.0,0.875,0.125
MT-Native,original,DFlash-Original-DDTree-B64,ddtree_tb64,4,1.0,0.875,0.125
MT-Native,dflash2,Sequential-Baseline,baseline,4,nan,0.875,0.125
MT-Native,dflash2,Raw-DFlash2,dflash2,4,0.75,0.875,0.125
MT-Native,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,4,1.0,0.875,0.125
MT-Native,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,4,1.0,0.875,0.125
MT-Native,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,4,1.0,0.875,0.125
MT-Native,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,4,1.0,0.875,0.125
MT-Native,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,4,1.0,0.875,0.125
MT-Native,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,4,1.0,0.875,0.125
MT-Native,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,4,1.0,0.875,0.125
MT-Native,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,4,1.0,0.875,0.125
MT-Native,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,4,0.75,0.875,0.125
MT-Native,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,4,1.0,0.875,0.125
