dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
HumanEval,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,4,133.36394016695476,141.65522900200307,2.5310174430985932,2.6468063668802744,3.118295739348371,4.053947368421053,16.25,18.910376250005356,0.49909451725002896,10.334625720977783,10.4453125,1.0
HumanEval,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,4,141.34391608266935,150.515640686035,2.682862167557016,2.8128057983994954,3.4529914529914527,4.383413461538462,14.75,18.937130249980783,0.46335862099996916,10.33722734451294,10.4453125,1.0
HumanEval,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,4,146.94729988525668,156.99562199047563,2.788902705236967,2.933555352604616,3.7333333333333334,4.659375,13.75,19.32400925002753,0.442115995249992,10.346410751342773,10.4453125,1.0
HumanEval,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,4,146.07385290369865,155.92740077405935,2.7725761503335637,2.913868710025282,3.9757575757575756,4.898011363636363,13.25,18.848595999997997,0.45119919949996756,10.365540981292725,10.4453125,1.0
HumanEval,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,4,146.75616000153173,156.79170140255735,2.784885092693599,2.9293126878165583,3.5603146853146854,4.502731643356643,14.5,18.899541000024556,0.450483471750033,10.334625720977783,10.4453125,1.0
HumanEval,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,4,156.0832514032176,169.49563559722327,2.9613151465351604,3.1661150391329898,4.076190476190476,4.996875,13.0,22.783966000019973,0.42214680775001057,10.33722734451294,10.4453125,1.0
HumanEval,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,4,160.65965356048622,172.68744155625166,3.0485084569334724,3.2260531579574026,4.197402597402597,5.116193181818182,12.75,18.869033249984568,0.4108884482500059,10.346408367156982,10.4453125,1.0
HumanEval,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,4,162.22918824832163,174.27215369359044,3.0782119337670686,3.255568221640908,4.428171828171829,5.3433566433566435,12.0,18.96466550005016,0.399103031500033,10.3655366897583,10.4453125,1.0
HumanEval,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,4,146.00005079798814,156.74423560805778,2.7708038609282983,2.9288082814982532,3.7333333333333334,4.659375,13.75,21.951988999973082,0.44489201724999816,10.346408367156982,10.4453125,1.0
HumanEval,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,4,153.38640911558946,164.29492682896458,2.9112494157705218,3.070099847603118,3.9757575757575756,4.898011363636363,13.25,18.952484750059284,0.4281595215000493,10.3655366897583,10.4453125,1.0
