dataset,budget,p16_minus_u16,p16_minus_u16_ci_low,p16_minus_u16_ci_high,p16_minus_u32,p16_minus_u32_ci_low,p16_minus_u32_ci_high,p16_minus_u64,p16_minus_u64_ci_low,p16_minus_u64_ci_high
GSM8K,8,0.25537146835442337,0.21499327396250176,0.29584450970579246,0.24736272197699416,0.20668917380775542,0.28639173074536933,0.24964246130247691,0.20854683110920175,0.289590126020083
GSM8K,16,0.4327662756316911,0.383139685827374,0.48368792922711046,0.43639706945355183,0.3854475242487956,0.4880633895689656,0.431053433524361,0.3810875603983288,0.4808859988064788
GSM8K,32,0.5086641540248145,0.4608068802812648,0.557527738623413,0.5074995680700359,0.45967865158482735,0.5559502688619098,0.5049076505755042,0.45750524952501076,0.5528852482614854
GSM8K,64,0.5453225336268843,0.49866377848696686,0.5907685805490426,0.5388091239069797,0.49395949915000975,0.5833820991346231,0.5430534740250732,0.49835091081396893,0.5890963021182685
MATH500,8,0.2868950587098596,0.24864767484895742,0.32479100088837143,0.3023117089551545,0.2590373770375542,0.3445355188390163,0.3073288153053726,0.26835372128700735,0.34736053980877335
MATH500,16,0.4648226221670128,0.41172165223094725,0.5179266971846432,0.4671459300830746,0.41909129633800973,0.5170640201669181,0.46436476704970536,0.41420055296383457,0.5135578914191383
MATH500,32,0.554896014632544,0.5088021273018085,0.6040588825428778,0.5612100103661004,0.5096926721400894,0.6172369390112081,0.547031184327059,0.5001624264175396,0.6005758276084309
MATH500,64,0.5598272601408791,0.5123791856533021,0.6070852946888503,0.5618631023642946,0.5180355326022772,0.6060136594893758,0.5538690514613578,0.5034829630334875,0.6027567525985422
