dataset,budget,unary_k,pairwise_matched,unary_matched,matched_gain,matched_ci_low,matched_ci_high,improve_prompts,tie_prompts,hurt_prompts,pairwise_tokens_per_second,unary_tokens_per_second,throughput_gain,relative_throughput_gain_percent,throughput_ci_low,throughput_ci_high
GSM8K,8,16,4.338625889495459,4.083254421141035,0.25537146835442337,0.21499327396250176,0.29584450970579246,110,7,11,93.69147426934977,89.5339066311401,4.157567638209654,4.643567777443146,3.437374828555419,4.871338417803563
GSM8K,8,32,4.338625889495459,4.091263167518465,0.24736272197699416,0.20668917380775542,0.28639173074536933,108,9,11,93.69147426934977,89.36330923953253,4.328165029817235,4.843335667232142,3.5948164662115505,5.039531746190853
GSM8K,8,64,4.338625889495459,4.088983428192982,0.24964246130247691,0.20854683110920175,0.289590126020083,109,8,11,93.69147426934977,88.83634398520692,4.855130284142822,5.465252245129877,4.1386062441528875,5.562537121317815
GSM8K,16,16,4.905684294097522,4.472918018465831,0.4327662756316911,0.383139685827374,0.48368792922711046,121,4,3,103.77556932193716,96.39345467050347,7.382114651433687,7.658315262864652,6.491420552858927,8.299849605216735
GSM8K,16,32,4.905684294097522,4.4692872246439705,0.43639706945355183,0.3854475242487956,0.4880633895689656,120,5,3,103.77556932193716,95.84210218865334,7.933467133283813,8.277643073466567,7.039427335161661,8.872296176514133
GSM8K,16,64,4.905684294097522,4.474630860573161,0.431053433524361,0.3810875603983288,0.4808859988064788,120,5,3,103.77556932193716,95.20971738185753,8.565851940079625,8.996825298540243,7.6709041611521025,9.489648693166444
GSM8K,32,16,5.248114457147726,4.739450303122912,0.5086641540248145,0.4608068802812648,0.557527738623413,122,3,3,109.05646350606145,100.59113486620214,8.465328639859322,8.415581205162054,7.60693061714899,9.32853537296291
GSM8K,32,32,5.248114457147726,4.7406148890776905,0.5074995680700359,0.45967865158482735,0.5559502688619098,122,3,3,109.05646350606145,99.67006354398289,9.38639996207856,9.417471634234971,8.466799084685515,10.3070793574919
GSM8K,32,64,5.248114457147726,4.743206806572222,0.5049076505755042,0.45750524952501076,0.5528852482614854,122,3,3,109.05646350606145,98.17321701247832,10.88324649358314,11.085759257741165,10.026081655645548,11.71944271729046
GSM8K,64,16,5.490918634866305,4.9455961012394205,0.5453225336268843,0.49866377848696686,0.5907685805490426,123,4,1,110.4112081453881,101.53860188374378,8.872606261644322,8.73816075565328,8.033053473216519,9.715414322409256
GSM8K,64,32,5.490918634866305,4.952109510959326,0.5388091239069797,0.49395949915000975,0.5833820991346231,124,3,1,110.4112081453881,100.04118304222357,10.370025103164537,10.365756169424492,9.585035817696017,11.168651318449767
GSM8K,64,64,5.490918634866305,4.947865160841232,0.5430534740250732,0.49835091081396893,0.5890963021182685,124,3,1,110.4112081453881,95.96630734356441,14.444900801823678,15.052054415421212,13.603638877278486,15.291652632586409
MATH500,8,16,4.61578341654131,4.328888357831451,0.2868950587098596,0.24864767484895742,0.32479100088837143,117,1,10,96.83378299044153,92.06987908013198,4.763903910309575,5.174226313649619,3.9947609207556822,5.516754437140961
MATH500,8,32,4.61578341654131,4.313471707586155,0.3023117089551545,0.2590373770375542,0.3445355188390163,119,1,8,96.83378299044153,91.66738668700452,5.166396303437024,5.636024424998092,4.406334596085138,5.911462030693563
MATH500,8,64,4.61578341654131,4.308454601235937,0.3073288153053726,0.26835372128700735,0.34736053980877335,118,1,9,96.83378299044153,91.02542841202657,5.80835457841497,6.381024159670476,5.081097789321468,6.51309802756751
MATH500,16,16,5.196662295026219,4.731839672859206,0.4648226221670128,0.41172165223094725,0.5179266971846432,122,1,5,106.99847662650417,99.30338242247738,7.695094204026789,7.749075626939572,6.6833946736834555,8.682754232630465
MATH500,16,32,5.196662295026219,4.729516364943144,0.4671459300830746,0.41909129633800973,0.5170640201669181,124,1,3,106.99847662650417,98.79188124380562,8.206595382698563,8.306953242894267,7.248655051454209,9.153459402982616
MATH500,16,64,5.196662295026219,4.732297527976514,0.46436476704970536,0.41420055296383457,0.5135578914191383,121,1,6,106.99847662650417,97.95728704506678,9.041189581437397,9.229726398279954,8.11293479545713,9.949401264676956
MATH500,32,16,5.530633034030762,4.975737019398218,0.554896014632544,0.5088021273018085,0.6040588825428778,125,1,2,112.08396151914403,103.03639986236783,9.0475616567762,8.780937289017857,8.162637716637988,9.98142281539461
MATH500,32,32,5.530633034030762,4.969423023664661,0.5612100103661004,0.5096926721400894,0.6172369390112081,125,1,2,112.08396151914403,101.94888585925752,10.135075659886489,9.94133047601733,9.156992033682021,11.18085571823514
MATH500,32,64,5.530633034030762,4.983601849703702,0.547031184327059,0.5001624264175396,0.6005758276084309,125,1,2,112.08396151914403,100.56419676191646,11.519764757227556,11.45513525504544,10.6502698198653,12.466145240839916
MATH500,64,16,5.749838361678119,5.190011101537239,0.5598272601408791,0.5123791856533021,0.6070852946888503,126,0,2,112.92270413066714,104.03896794814807,8.883736182519094,8.538854582781575,8.04715268472058,9.728537110929794
MATH500,64,32,5.749838361678119,5.1879752593138235,0.5618631023642946,0.5180355326022772,0.6060136594893758,126,0,2,112.92270413066714,102.30174399982589,10.62096013084128,10.381993224728754,9.774408424003422,11.44508762330281
MATH500,64,64,5.749838361678119,5.195969310216761,0.5538690514613578,0.5034829630334875,0.6027567525985422,125,0,3,112.92270413066714,98.30919788587197,14.613506244795197,14.864841295684405,13.682836688906065,15.546945048624139
