dataset,budget,pairwise_k16,unary_k16,unary_k32,unary_k64
GSM8K,8,4.338625889495459,4.083254421141035,4.091263167518465,4.088983428192982
GSM8K,16,4.905684294097522,4.472918018465831,4.4692872246439705,4.474630860573161
GSM8K,32,5.248114457147726,4.739450303122912,4.7406148890776905,4.743206806572222
GSM8K,64,5.490918634866305,4.9455961012394205,4.952109510959326,4.947865160841232
MATH500,8,4.61578341654131,4.328888357831451,4.313471707586155,4.308454601235937
MATH500,16,5.196662295026219,4.731839672859206,4.729516364943144,4.732297527976514
MATH500,32,5.530633034030762,4.975737019398218,4.969423023664661,4.983601849703702
MATH500,64,5.749838361678119,5.190011101537239,5.1879752593138235,5.195969310216761
