dataset,budget,trajectory_method,support_k,depth,observed_rounds,target_token_inclusion,prefix_representability
GSM8K,32,Pairwise-K16,16,2,6088,0.9747043363994744,0.9732260183968463
GSM8K,32,Pairwise-K16,16,3,6067,0.9523652546563376,0.9391791659798913
GSM8K,32,Pairwise-K16,16,4,6049,0.9112249958670855,0.8826252273102992
GSM8K,32,Pairwise-K16,16,5,6034,0.8856479946967186,0.8256546237984753
GSM8K,32,Pairwise-K16,16,6,6014,0.8603259062188228,0.7638842700365813
GSM8K,32,Pairwise-K16,16,7,5997,0.8264132066033016,0.6976821744205436
GSM8K,64,Unary-K16,16,1,6331,0.9977886589796241,0.9977886589796241
GSM8K,64,Unary-K16,16,2,6317,0.978312490106063,0.976571157194871
GSM8K,64,Unary-K16,16,3,6304,0.9509835025380711,0.9414657360406091
GSM8K,64,Unary-K16,16,4,6284,0.9119987269255252,0.8835136855506047
GSM8K,64,Unary-K16,16,5,6272,0.8882334183673469,0.8298788265306123
GSM8K,64,Unary-K16,16,6,6247,0.8613734592604451,0.7669281255002401
GSM8K,64,Unary-K16,16,7,6220,0.8278135048231511,0.702572347266881
GSM8K,64,Unary-K32,32,1,6345,0.9988967691095351,0.9988967691095351
GSM8K,64,Unary-K32,32,2,6332,0.988945041061276,0.9879974731522426
GSM8K,64,Unary-K32,32,3,6319,0.9711979743630321,0.9643931001740782
GSM8K,64,Unary-K32,32,4,6300,0.9395238095238095,0.9177777777777778
GSM8K,64,Unary-K32,32,5,6288,0.9212786259541985,0.8761132315521628
GSM8K,64,Unary-K32,32,6,6266,0.9061602298116821,0.8292371528886052
GSM8K,64,Unary-K32,32,7,6237,0.8832772166105499,0.7782587782587782
GSM8K,64,Unary-K64,64,1,6334,0.9996842437638144,0.9996842437638144
GSM8K,64,Unary-K64,64,2,6320,0.9946202531645569,0.9944620253164557
GSM8K,64,Unary-K64,64,3,6307,0.982717615348026,0.9795465355953702
