dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B7,Sequential-Baseline,7,,128,108.65114238130761,105.73502880793546,111.55943198495764,218.6020503079046,nan,nan,nan,128,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B16,Sequential-Baseline,16,,128,127.08983277900666,124.5315923271462,129.68974887578935,255.71321499542398,nan,nan,nan,128,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B32,Sequential-Baseline,32,,128,135.5367099581146,132.9347359484535,138.15206002326917,272.73365406677453,nan,nan,nan,128,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B64,Sequential-Baseline,64,,128,139.3178007924425,136.7548838460226,141.74207747275213,280.3071522606306,nan,nan,nan,128,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Unary-K16-B32,Sequential-Baseline,32,,128,121.44015317467706,118.94416439915966,124.0268345505468,244.34206249404343,nan,nan,nan,128,0,0
GSM8K,False,within_family_vs_sequential,DFlash2-Unary-K16-B64,Sequential-Baseline,64,,128,124.06097286832086,121.42393946453441,126.65237248532767,249.56284619087273,nan,nan,nan,128,0,0
HumanEval,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,164,10.664450970306515,9.079580676070037,12.279314508260764,7.60646434680973,nan,nan,nan,144,0,20
HumanEval,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,164,5.61595088485054,4.540386804198752,6.686523862429396,4.393121625035382,nan,nan,nan,129,0,35
HumanEval,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,164,14.292676499988087,13.014100655259378,15.547934417583654,9.745766955531451,nan,nan,nan,159,0,5
HumanEval,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,164,23.30924817004577,21.84489831438038,24.814227551273493,16.331509524361547,nan,nan,nan,163,0,1
HumanEval,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,164,4.012005492715492,2.9243380597690005,5.104130639063384,3.338081269425014,nan,nan,nan,121,0,43
HumanEval,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,164,12.935478246792933,11.606213272035985,14.26348272811305,8.786801922169538,nan,nan,nan,154,0,10
HumanEval,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,64,64,164,13.890634798888186,12.495795974065315,15.288659495089059,9.164698705883314,nan,nan,nan,156,0,8
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,,164,-84.16144205557715,-91.13007632978795,-77.14308811832511,-32.738566621003315,-1.4483021365916093,-1.5784050577048259,-1.3201925722756696,2,0,162
