dataset,prompts,budget,pairwise_minus_unary_matched,matched_ci_low,matched_ci_high,improve_prompts,tie_prompts,hurt_prompts,pairwise_minus_unary_tokens_per_second,throughput_ci_low,throughput_ci_high
GSM8K,64,16,0.4179941620297972,0.35333981537517684,0.4853981296114176,56,7,1,-0.018378559391135973,-0.09899485086369535,0.058914391765982746
GSM8K,64,32,0.443843804261338,0.38353954613406344,0.5053421409094343,59,5,0,-0.0041040034099978084,-0.0932076502141301,0.08895192830395249
GSM8K,64,64,0.4363610080227541,0.3741413799616394,0.4992980756896658,60,4,0,0.06157108975841186,-0.008654173969352396,0.1318099608233743
MATH500,64,16,0.4035840780856051,0.3506984665047224,0.4613109373469985,61,2,1,0.0030701979160245307,-0.05535433592209512,0.06213864138587317
MATH500,64,32,0.43867726755149805,0.3853766142738344,0.4947129921285624,61,3,0,0.012657087018182411,-0.05520567330354604,0.09634436993096296
MATH500,64,64,0.4336971438005677,0.3776367414198187,0.49126196672894834,61,3,0,0.03726900579629194,-0.03214775442656181,0.10386976715269486
