depth,eligible_N,in_lattice_N,unary_mean_rank,pairwise_mean_rank,unary_median_rank,pairwise_median_rank,unary_recall_at_1,pairwise_recall_at_1,unary_recall_at_2,pairwise_recall_at_2,unary_recall_at_4,pairwise_recall_at_4,unary_mrr,pairwise_mrr
1,1913,1909,1.1995809324253537,1.220534311157674,1.0,1.0,0.894185437401781,0.892090099528549,0.961760083813515,0.9586170770036668,0.9889994761655317,0.9874279727606077,0.9379786094820144,0.9360548159133807
2,1690,1677,1.3762671437090042,1.2659511031604054,1.0,1.0,0.8443649373881932,0.8604651162790697,0.924865831842576,0.9463327370304114,0.9725700655933214,0.9856887298747764,0.9031708113327076,0.9177875592902427
3,1434,1411,1.5485471296952515,1.3012048192771084,1.0,1.0,0.8157335223245925,0.8518781006378455,0.9078667611622963,0.9454287739192062,0.9532246633593197,0.9801559177888023,0.8820371277671065,0.9121764624067955
4,1198,1173,1.474850809889173,1.2557544757033248,1.0,1.0,0.8235294117647058,0.8746803069053708,0.9121909633418585,0.9437340153452686,0.9633418584825234,0.9872122762148338,0.8885442113063595,0.9244729600228321
5,1023,1006,1.5924453280318092,1.3280318091451293,1.0,1.0,0.7703777335984096,0.8469184890656064,0.8946322067594433,0.9333996023856859,0.9502982107355865,0.9761431411530815,0.8564094233577334,0.90677880767344
6,848,828,1.6171497584541064,1.3103864734299517,1.0,1.0,0.7608695652173914,0.8417874396135265,0.8816425120772947,0.9335748792270532,0.9541062801932367,0.9770531400966184,0.8489584690671647,0.9048064757303886
7,691,668,1.7110778443113772,1.3622754491017963,1.0,1.0,0.7679640718562875,0.8517964071856288,0.8712574850299402,0.9281437125748503,0.938622754491018,0.9700598802395209,0.8481054021660308,0.9073502345957436
