scope,method,budget,depth,hits,N,coverage
direct,Oracle-Lattice,1,5,0,1023,0.0
direct,Oracle-Lattice,1,6,0,848,0.0
direct,Oracle-Lattice,1,7,0,691,0.0
direct,Oracle-Lattice,2,1,1909,1913,0.9979090433873498
direct,Oracle-Lattice,2,2,1677,1690,0.9923076923076923
direct,Oracle-Lattice,2,3,0,1434,0.0
direct,Oracle-Lattice,2,4,0,1198,0.0
direct,Oracle-Lattice,2,5,0,1023,0.0
direct,Oracle-Lattice,2,6,0,848,0.0
direct,Oracle-Lattice,2,7,0,691,0.0
direct,Oracle-Lattice,4,1,1909,1913,0.9979090433873498
direct,Oracle-Lattice,4,2,1677,1690,0.9923076923076923
direct,Oracle-Lattice,4,3,1411,1434,0.9839609483960948
direct,Oracle-Lattice,4,4,1173,1198,0.9791318864774624
direct,Oracle-Lattice,4,5,0,1023,0.0
direct,Oracle-Lattice,4,6,0,848,0.0
direct,Oracle-Lattice,4,7,0,691,0.0
direct,Oracle-Lattice,7,1,1909,1913,0.9979090433873498
direct,Oracle-Lattice,7,2,1677,1690,0.9923076923076923
direct,Oracle-Lattice,7,3,1411,1434,0.9839609483960948
direct,Oracle-Lattice,7,4,1173,1198,0.9791318864774624
direct,Oracle-Lattice,7,5,1006,1023,0.9833822091886608
direct,Oracle-Lattice,7,6,828,848,0.9764150943396226
direct,Oracle-Lattice,7,7,668,691,0.9667149059334298
direct,Oracle-Lattice,8,1,1909,1913,0.9979090433873498
direct,Oracle-Lattice,8,2,1677,1690,0.9923076923076923
direct,Oracle-Lattice,8,3,1411,1434,0.9839609483960948
direct,Oracle-Lattice,8,4,1173,1198,0.9791318864774624
direct,Oracle-Lattice,8,5,1006,1023,0.9833822091886608
direct,Oracle-Lattice,8,6,828,848,0.9764150943396226
direct,Oracle-Lattice,8,7,668,691,0.9667149059334298
direct,Oracle-Lattice,16,1,1909,1913,0.9979090433873498
direct,Oracle-Lattice,16,2,1677,1690,0.9923076923076923
direct,Oracle-Lattice,16,3,1411,1434,0.9839609483960948
direct,Oracle-Lattice,16,4,1173,1198,0.9791318864774624
direct,Oracle-Lattice,16,5,1006,1023,0.9833822091886608
direct,Oracle-Lattice,16,6,828,848,0.9764150943396226
direct,Oracle-Lattice,16,7,668,691,0.9667149059334298
direct,Oracle-Lattice,32,1,1909,1913,0.9979090433873498
direct,Oracle-Lattice,32,2,1677,1690,0.9923076923076923
direct,Oracle-Lattice,32,3,1411,1434,0.9839609483960948
direct,Oracle-Lattice,32,4,1173,1198,0.9791318864774624
direct,Oracle-Lattice,32,5,1006,1023,0.9833822091886608
direct,Oracle-Lattice,32,6,828,848,0.9764150943396226
direct,Oracle-Lattice,32,7,668,691,0.9667149059334298
direct,Oracle-Lattice,64,1,1909,1913,0.9979090433873498
direct,Oracle-Lattice,64,2,1677,1690,0.9923076923076923
direct,Oracle-Lattice,64,3,1411,1434,0.9839609483960948
direct,Oracle-Lattice,64,4,1173,1198,0.9791318864774624
direct,Oracle-Lattice,64,5,1006,1023,0.9833822091886608
direct,Oracle-Lattice,64,6,828,848,0.9764150943396226
direct,Oracle-Lattice,64,7,668,691,0.9667149059334298
direct,Oracle-Lattice,128,1,1909,1913,0.9979090433873498
direct,Oracle-Lattice,128,2,1677,1690,0.9923076923076923
direct,Oracle-Lattice,128,3,1411,1434,0.9839609483960948
direct,Oracle-Lattice,128,4,1173,1198,0.9791318864774624
direct,Oracle-Lattice,128,5,1006,1023,0.9833822091886608
direct,Oracle-Lattice,128,6,828,848,0.9764150943396226
direct,Oracle-Lattice,128,7,668,691,0.9667149059334298
direct,Oracle-Lattice,256,1,1909,1913,0.9979090433873498
direct,Oracle-Lattice,256,2,1677,1690,0.9923076923076923
direct,Oracle-Lattice,256,3,1411,1434,0.9839609483960948
direct,Oracle-Lattice,256,4,1173,1198,0.9791318864774624
direct,Oracle-Lattice,256,5,1006,1023,0.9833822091886608
direct,Oracle-Lattice,256,6,828,848,0.9764150943396226
direct,Oracle-Lattice,256,7,668,691,0.9667149059334298
