tree_method,budget,mean_paired_difference_vs_greedy_path,ci_low,ci_high,bootstrap_probability_positive
Unary-FullMass,7,-0.013068478829064296,-0.06380781927124324,0.0387365118827192,0.2989
Pairwise-MassPreserving,7,0.20595922634605332,0.17207937275119486,0.23778033801635381,1.0
Pairwise-after-root,7,0.2232096184004182,0.18196596307010965,0.2640889567483923,1.0
