scope,method,budget,depth,N,covered,candidate_failures,ranking_budget_failures,candidate_failure_rate,ranking_budget_failure_rate
realized,DFlash2-GreedyPath,7,2,1909,1440,47,422,0.02462022001047669,0.2210581456259822
realized,DFlash2-GreedyPath,7,3,1902,1202,142,558,0.07465825446898001,0.29337539432176657
realized,DFlash2-GreedyPath,7,4,1898,1024,251,623,0.1322444678609062,0.32824025289778713
realized,DFlash2-GreedyPath,7,5,1895,848,357,690,0.18839050131926122,0.3641160949868074
realized,DFlash2-GreedyPath,7,6,1895,696,483,716,0.25488126649076515,0.37783641160949866
realized,DFlash2-GreedyPath,7,7,1887,568,601,718,0.3184949655537891,0.3804981452040276
realized,DFlash2-GreedyPath,8,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
realized,DFlash2-GreedyPath,8,2,1909,1440,47,422,0.02462022001047669,0.2210581456259822
realized,DFlash2-GreedyPath,8,3,1902,1202,142,558,0.07465825446898001,0.29337539432176657
realized,DFlash2-GreedyPath,8,4,1898,1024,251,623,0.1322444678609062,0.32824025289778713
realized,DFlash2-GreedyPath,8,5,1895,848,357,690,0.18839050131926122,0.3641160949868074
realized,DFlash2-GreedyPath,8,6,1895,696,483,716,0.25488126649076515,0.37783641160949866
realized,DFlash2-GreedyPath,8,7,1887,568,601,718,0.3184949655537891,0.3804981452040276
realized,DFlash2-GreedyPath,16,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
realized,DFlash2-GreedyPath,16,2,1909,1440,47,422,0.02462022001047669,0.2210581456259822
realized,DFlash2-GreedyPath,16,3,1902,1202,142,558,0.07465825446898001,0.29337539432176657
realized,DFlash2-GreedyPath,16,4,1898,1024,251,623,0.1322444678609062,0.32824025289778713
realized,DFlash2-GreedyPath,16,5,1895,848,357,690,0.18839050131926122,0.3641160949868074
realized,DFlash2-GreedyPath,16,6,1895,696,483,716,0.25488126649076515,0.37783641160949866
realized,DFlash2-GreedyPath,16,7,1887,568,601,718,0.3184949655537891,0.3804981452040276
realized,DFlash2-GreedyPath,32,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
realized,DFlash2-GreedyPath,32,2,1909,1440,47,422,0.02462022001047669,0.2210581456259822
realized,DFlash2-GreedyPath,32,3,1902,1202,142,558,0.07465825446898001,0.29337539432176657
realized,DFlash2-GreedyPath,32,4,1898,1024,251,623,0.1322444678609062,0.32824025289778713
realized,DFlash2-GreedyPath,32,5,1895,848,357,690,0.18839050131926122,0.3641160949868074
realized,DFlash2-GreedyPath,32,6,1895,696,483,716,0.25488126649076515,0.37783641160949866
realized,DFlash2-GreedyPath,32,7,1887,568,601,718,0.3184949655537891,0.3804981452040276
realized,DFlash2-GreedyPath,64,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
realized,DFlash2-GreedyPath,64,2,1909,1440,47,422,0.02462022001047669,0.2210581456259822
realized,DFlash2-GreedyPath,64,3,1902,1202,142,558,0.07465825446898001,0.29337539432176657
realized,DFlash2-GreedyPath,64,4,1898,1024,251,623,0.1322444678609062,0.32824025289778713
realized,DFlash2-GreedyPath,64,5,1895,848,357,690,0.18839050131926122,0.3641160949868074
realized,DFlash2-GreedyPath,64,6,1895,696,483,716,0.25488126649076515,0.37783641160949866
realized,DFlash2-GreedyPath,64,7,1887,568,601,718,0.3184949655537891,0.3804981452040276
realized,DFlash2-GreedyPath,128,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
realized,DFlash2-GreedyPath,128,2,1909,1440,47,422,0.02462022001047669,0.2210581456259822
realized,DFlash2-GreedyPath,128,3,1902,1202,142,558,0.07465825446898001,0.29337539432176657
realized,DFlash2-GreedyPath,128,4,1898,1024,251,623,0.1322444678609062,0.32824025289778713
realized,DFlash2-GreedyPath,128,5,1895,848,357,690,0.18839050131926122,0.3641160949868074
realized,DFlash2-GreedyPath,128,6,1895,696,483,716,0.25488126649076515,0.37783641160949866
realized,DFlash2-GreedyPath,128,7,1887,568,601,718,0.3184949655537891,0.3804981452040276
realized,DFlash2-GreedyPath,256,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
realized,DFlash2-GreedyPath,256,2,1909,1440,47,422,0.02462022001047669,0.2210581456259822
realized,DFlash2-GreedyPath,256,3,1902,1202,142,558,0.07465825446898001,0.29337539432176657
realized,DFlash2-GreedyPath,256,4,1898,1024,251,623,0.1322444678609062,0.32824025289778713
realized,DFlash2-GreedyPath,256,5,1895,848,357,690,0.18839050131926122,0.3641160949868074
realized,DFlash2-GreedyPath,256,6,1895,696,483,716,0.25488126649076515,0.37783641160949866
realized,DFlash2-GreedyPath,256,7,1887,568,601,718,0.3184949655537891,0.3804981452040276
direct,Unary-FullMass,1,1,1913,1695,4,214,0.0020909566126502874,0.11186617877679038
direct,Unary-FullMass,1,2,1690,0,13,1677,0.007692307692307693,0.9923076923076923
direct,Unary-FullMass,1,3,1434,0,23,1411,0.01603905160390516,0.9839609483960948
direct,Unary-FullMass,1,4,1198,0,25,1173,0.020868113522537562,0.9791318864774624
direct,Unary-FullMass,1,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Unary-FullMass,1,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Unary-FullMass,1,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Unary-FullMass,2,1,1913,1731,4,178,0.0020909566126502874,0.0930475692629378
direct,Unary-FullMass,2,2,1690,1385,13,292,0.007692307692307693,0.1727810650887574
direct,Unary-FullMass,2,3,1434,0,23,1411,0.01603905160390516,0.9839609483960948
direct,Unary-FullMass,2,4,1198,0,25,1173,0.020868113522537562,0.9791318864774624
direct,Unary-FullMass,2,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Unary-FullMass,2,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Unary-FullMass,2,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Unary-FullMass,4,1,1913,1772,4,137,0.0020909566126502874,0.07161526398327235
direct,Unary-FullMass,4,2,1690,1455,13,222,0.007692307692307693,0.13136094674556212
direct,Unary-FullMass,4,3,1434,1128,23,283,0.01603905160390516,0.19735006973500696
direct,Unary-FullMass,4,4,1198,885,25,288,0.020868113522537562,0.24040066777963273
direct,Unary-FullMass,4,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Unary-FullMass,4,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Unary-FullMass,4,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Unary-FullMass,7,1,1913,1817,4,92,0.0020909566126502874,0.04809200209095661
direct,Unary-FullMass,7,2,1690,1508,13,169,0.007692307692307693,0.1
direct,Unary-FullMass,7,3,1434,1208,23,203,0.01603905160390516,0.14156206415620642
direct,Unary-FullMass,7,4,1198,967,25,206,0.020868113522537562,0.17195325542570952
direct,Unary-FullMass,7,5,1023,730,17,276,0.016617790811339198,0.2697947214076246
direct,Unary-FullMass,7,6,848,552,20,276,0.02358490566037736,0.32547169811320753
direct,Unary-FullMass,7,7,691,418,23,250,0.03328509406657019,0.361794500723589
direct,Unary-FullMass,8,1,1913,1831,4,78,0.0020909566126502874,0.04077365394668061
direct,Unary-FullMass,8,2,1690,1522,13,155,0.007692307692307693,0.09171597633136094
direct,Unary-FullMass,8,3,1434,1227,23,184,0.01603905160390516,0.12831241283124128
direct,Unary-FullMass,8,4,1198,992,25,181,0.020868113522537562,0.15108514190317196
direct,Unary-FullMass,8,5,1023,760,17,246,0.016617790811339198,0.2404692082111437
direct,Unary-FullMass,8,6,848,585,20,243,0.02358490566037736,0.2865566037735849
direct,Unary-FullMass,8,7,691,441,23,227,0.03328509406657019,0.32850940665701883
direct,Unary-FullMass,16,1,1913,1864,4,45,0.0020909566126502874,0.023523261892315735
direct,Unary-FullMass,16,2,1690,1570,13,107,0.007692307692307693,0.06331360946745562
direct,Unary-FullMass,16,3,1434,1287,23,124,0.01603905160390516,0.08647140864714087
direct,Unary-FullMass,16,4,1198,1049,25,124,0.020868113522537562,0.10350584307178631
direct,Unary-FullMass,16,5,1023,851,17,155,0.016617790811339198,0.15151515151515152
direct,Unary-FullMass,16,6,848,671,20,157,0.02358490566037736,0.18514150943396226
direct,Unary-FullMass,16,7,691,507,23,161,0.03328509406657019,0.23299565846599132
direct,Unary-FullMass,32,1,1913,1879,4,30,0.0020909566126502874,0.015682174594877155
direct,Unary-FullMass,32,2,1690,1605,13,72,0.007692307692307693,0.04260355029585799
direct,Unary-FullMass,32,3,1434,1314,23,97,0.01603905160390516,0.06764295676429567
direct,Unary-FullMass,32,4,1198,1088,25,85,0.020868113522537562,0.0709515859766277
direct,Unary-FullMass,32,5,1023,903,17,103,0.016617790811339198,0.10068426197458455
direct,Unary-FullMass,32,6,848,717,20,111,0.02358490566037736,0.13089622641509435
direct,Unary-FullMass,32,7,691,556,23,112,0.03328509406657019,0.16208393632416787
direct,Unary-FullMass,64,1,1913,1889,4,20,0.0020909566126502874,0.010454783063251438
direct,Unary-FullMass,64,2,1690,1628,13,49,0.007692307692307693,0.028994082840236687
direct,Unary-FullMass,64,3,1434,1342,23,69,0.01603905160390516,0.04811715481171548
direct,Unary-FullMass,64,4,1198,1110,25,63,0.020868113522537562,0.052587646076794656
direct,Unary-FullMass,64,5,1023,933,17,73,0.016617790811339198,0.07135874877810362
direct,Unary-FullMass,64,6,848,746,20,82,0.02358490566037736,0.09669811320754718
direct,Unary-FullMass,64,7,691,583,23,85,0.03328509406657019,0.12301013024602026
direct,Unary-FullMass,128,1,1913,1897,4,12,0.0020909566126502874,0.006272869837950863
direct,Unary-FullMass,128,2,1690,1644,13,33,0.007692307692307693,0.01952662721893491
direct,Unary-FullMass,128,3,1434,1359,23,52,0.01603905160390516,0.03626220362622036
direct,Unary-FullMass,128,4,1198,1126,25,47,0.020868113522537562,0.03923205342237062
direct,Unary-FullMass,128,5,1023,958,17,48,0.016617790811339198,0.0469208211143695
direct,Unary-FullMass,128,6,848,768,20,60,0.02358490566037736,0.07075471698113207
direct,Unary-FullMass,128,7,691,602,23,66,0.03328509406657019,0.0955137481910275
direct,Unary-FullMass,256,1,1913,1902,4,7,0.0020909566126502874,0.0036591740721380033
direct,Unary-FullMass,256,2,1690,1657,13,20,0.007692307692307693,0.011834319526627219
direct,Unary-FullMass,256,3,1434,1370,23,41,0.01603905160390516,0.028591352859135284
direct,Unary-FullMass,256,4,1198,1137,25,36,0.020868113522537562,0.03005008347245409
direct,Unary-FullMass,256,5,1023,967,17,39,0.016617790811339198,0.03812316715542522
direct,Unary-FullMass,256,6,848,783,20,45,0.02358490566037736,0.05306603773584906
direct,Unary-FullMass,256,7,691,616,23,52,0.03328509406657019,0.07525325615050651
direct,Unary-Truncated,1,1,1913,1695,4,214,0.0020909566126502874,0.11186617877679038
direct,Unary-Truncated,1,2,1690,0,13,1677,0.007692307692307693,0.9923076923076923
direct,Unary-Truncated,1,3,1434,0,23,1411,0.01603905160390516,0.9839609483960948
direct,Unary-Truncated,1,4,1198,0,25,1173,0.020868113522537562,0.9791318864774624
direct,Unary-Truncated,1,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Unary-Truncated,1,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Unary-Truncated,1,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Unary-Truncated,2,1,1913,1731,4,178,0.0020909566126502874,0.0930475692629378
direct,Unary-Truncated,2,2,1690,1387,13,290,0.007692307692307693,0.17159763313609466
direct,Unary-Truncated,2,3,1434,0,23,1411,0.01603905160390516,0.9839609483960948
direct,Unary-Truncated,2,4,1198,0,25,1173,0.020868113522537562,0.9791318864774624
direct,Unary-Truncated,2,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Unary-Truncated,2,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Unary-Truncated,2,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Unary-Truncated,4,1,1913,1766,4,143,0.0020909566126502874,0.07475169890224778
direct,Unary-Truncated,4,2,1690,1452,13,225,0.007692307692307693,0.13313609467455623
direct,Unary-Truncated,4,3,1434,1130,23,281,0.01603905160390516,0.19595536959553697
direct,Unary-Truncated,4,4,1198,886,25,287,0.020868113522537562,0.2395659432387312
direct,Unary-Truncated,4,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Unary-Truncated,4,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Unary-Truncated,4,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Unary-Truncated,7,1,1913,1808,4,101,0.0020909566126502874,0.05279665446941976
direct,Unary-Truncated,7,2,1690,1503,13,174,0.007692307692307693,0.10295857988165681
direct,Unary-Truncated,7,3,1434,1208,23,203,0.01603905160390516,0.14156206415620642
direct,Unary-Truncated,7,4,1198,967,25,206,0.020868113522537562,0.17195325542570952
direct,Unary-Truncated,7,5,1023,731,17,275,0.016617790811339198,0.26881720430107525
direct,Unary-Truncated,7,6,848,553,20,275,0.02358490566037736,0.3242924528301887
direct,Unary-Truncated,7,7,691,422,23,246,0.03328509406657019,0.35600578871201155
direct,Unary-Truncated,8,1,1913,1823,4,86,0.0020909566126502874,0.04495556717198118
direct,Unary-Truncated,8,2,1690,1516,13,161,0.007692307692307693,0.09526627218934912
direct,Unary-Truncated,8,3,1434,1224,23,187,0.01603905160390516,0.1304044630404463
direct,Unary-Truncated,8,4,1198,987,25,186,0.020868113522537562,0.15525876460767946
direct,Unary-Truncated,8,5,1023,760,17,246,0.016617790811339198,0.2404692082111437
direct,Unary-Truncated,8,6,848,586,20,242,0.02358490566037736,0.28537735849056606
direct,Unary-Truncated,8,7,691,442,23,226,0.03328509406657019,0.32706222865412443
direct,Unary-Truncated,16,1,1913,1860,4,49,0.0020909566126502874,0.02561421850496602
direct,Unary-Truncated,16,2,1690,1567,13,110,0.007692307692307693,0.0650887573964497
direct,Unary-Truncated,16,3,1434,1284,23,127,0.01603905160390516,0.08856345885634588
direct,Unary-Truncated,16,4,1198,1049,25,124,0.020868113522537562,0.10350584307178631
direct,Unary-Truncated,16,5,1023,855,17,151,0.016617790811339198,0.14760508308895406
direct,Unary-Truncated,16,6,848,674,20,154,0.02358490566037736,0.18160377358490565
direct,Unary-Truncated,16,7,691,509,23,159,0.03328509406657019,0.2301013024602026
direct,Unary-Truncated,32,1,1913,1872,4,37,0.0020909566126502874,0.01934134866701516
direct,Unary-Truncated,32,2,1690,1597,13,80,0.007692307692307693,0.047337278106508875
direct,Unary-Truncated,32,3,1434,1311,23,100,0.01603905160390516,0.0697350069735007
direct,Unary-Truncated,32,4,1198,1082,25,91,0.020868113522537562,0.07595993322203673
direct,Unary-Truncated,32,5,1023,903,17,103,0.016617790811339198,0.10068426197458455
direct,Unary-Truncated,32,6,848,723,20,105,0.02358490566037736,0.12382075471698113
direct,Unary-Truncated,32,7,691,559,23,109,0.03328509406657019,0.1577424023154848
direct,Unary-Truncated,64,1,1913,1886,4,23,0.0020909566126502874,0.012023000522739153
direct,Unary-Truncated,64,2,1690,1626,13,51,0.007692307692307693,0.03017751479289941
direct,Unary-Truncated,64,3,1434,1335,23,76,0.01603905160390516,0.05299860529986053
direct,Unary-Truncated,64,4,1198,1109,25,64,0.020868113522537562,0.05342237061769616
direct,Unary-Truncated,64,5,1023,932,17,74,0.016617790811339198,0.07233626588465299
direct,Unary-Truncated,64,6,848,748,20,80,0.02358490566037736,0.09433962264150944
direct,Unary-Truncated,64,7,691,590,23,78,0.03328509406657019,0.11287988422575977
direct,Unary-Truncated,128,1,1913,1894,4,15,0.0020909566126502874,0.007841087297438577
direct,Unary-Truncated,128,2,1690,1640,13,37,0.007692307692307693,0.021893491124260357
direct,Unary-Truncated,128,3,1434,1357,23,54,0.01603905160390516,0.03765690376569038
direct,Unary-Truncated,128,4,1198,1124,25,49,0.020868113522537562,0.040901502504173626
direct,Unary-Truncated,128,5,1023,957,17,49,0.016617790811339198,0.047898338220918865
direct,Unary-Truncated,128,6,848,770,20,58,0.02358490566037736,0.06839622641509434
direct,Unary-Truncated,128,7,691,604,23,64,0.03328509406657019,0.09261939218523878
direct,Unary-Truncated,256,1,1913,1901,4,8,0.0020909566126502874,0.004181913225300575
direct,Unary-Truncated,256,2,1690,1652,13,25,0.007692307692307693,0.014792899408284023
direct,Unary-Truncated,256,3,1434,1369,23,42,0.01603905160390516,0.029288702928870293
direct,Unary-Truncated,256,4,1198,1135,25,38,0.020868113522537562,0.03171953255425709
direct,Unary-Truncated,256,5,1023,966,17,40,0.016617790811339198,0.039100684261974585
direct,Unary-Truncated,256,6,848,783,20,45,0.02358490566037736,0.05306603773584906
direct,Unary-Truncated,256,7,691,619,23,49,0.03328509406657019,0.07091172214182344
direct,Pairwise-MassPreserving,1,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,Pairwise-MassPreserving,1,2,1690,0,13,1677,0.007692307692307693,0.9923076923076923
direct,Pairwise-MassPreserving,1,3,1434,0,23,1411,0.01603905160390516,0.9839609483960948
direct,Pairwise-MassPreserving,1,4,1198,0,25,1173,0.020868113522537562,0.9791318864774624
direct,Pairwise-MassPreserving,1,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Pairwise-MassPreserving,1,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Pairwise-MassPreserving,1,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Pairwise-MassPreserving,2,1,1913,1731,4,178,0.0020909566126502874,0.0930475692629378
direct,Pairwise-MassPreserving,2,2,1690,1428,13,249,0.007692307692307693,0.14733727810650887
direct,Pairwise-MassPreserving,2,3,1434,0,23,1411,0.01603905160390516,0.9839609483960948
direct,Pairwise-MassPreserving,2,4,1198,0,25,1173,0.020868113522537562,0.9791318864774624
direct,Pairwise-MassPreserving,2,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Pairwise-MassPreserving,2,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Pairwise-MassPreserving,2,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Pairwise-MassPreserving,4,1,1913,1768,4,141,0.0020909566126502874,0.07370622059592263
direct,Pairwise-MassPreserving,4,2,1690,1496,13,181,0.007692307692307693,0.10710059171597633
direct,Pairwise-MassPreserving,4,3,1434,1202,23,209,0.01603905160390516,0.14574616457461645
direct,Pairwise-MassPreserving,4,4,1198,959,25,214,0.020868113522537562,0.17863105175292154
direct,Pairwise-MassPreserving,4,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Pairwise-MassPreserving,4,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Pairwise-MassPreserving,4,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Pairwise-MassPreserving,7,1,1913,1817,4,92,0.0020909566126502874,0.04809200209095661
direct,Pairwise-MassPreserving,7,2,1690,1553,13,124,0.007692307692307693,0.07337278106508875
direct,Pairwise-MassPreserving,7,3,1434,1268,23,143,0.01603905160390516,0.099721059972106
direct,Pairwise-MassPreserving,7,4,1198,1052,25,121,0.020868113522537562,0.1010016694490818
direct,Pairwise-MassPreserving,7,5,1023,830,17,176,0.016617790811339198,0.17204301075268819
direct,Pairwise-MassPreserving,7,6,848,643,20,185,0.02358490566037736,0.21816037735849056
direct,Pairwise-MassPreserving,7,7,691,482,23,186,0.03328509406657019,0.2691751085383502
direct,Pairwise-MassPreserving,8,1,1913,1827,4,82,0.0020909566126502874,0.04286461055933089
direct,Pairwise-MassPreserving,8,2,1690,1567,13,110,0.007692307692307693,0.0650887573964497
direct,Pairwise-MassPreserving,8,3,1434,1295,23,116,0.01603905160390516,0.08089260808926081
direct,Pairwise-MassPreserving,8,4,1198,1073,25,100,0.020868113522537562,0.08347245409015025
direct,Pairwise-MassPreserving,8,5,1023,874,17,132,0.016617790811339198,0.12903225806451613
direct,Pairwise-MassPreserving,8,6,848,684,20,144,0.02358490566037736,0.16981132075471697
direct,Pairwise-MassPreserving,8,7,691,528,23,140,0.03328509406657019,0.20260492040520983
direct,Pairwise-MassPreserving,16,1,1913,1857,4,52,0.0020909566126502874,0.027182435964453737
direct,Pairwise-MassPreserving,16,2,1690,1615,13,62,0.007692307692307693,0.036686390532544376
direct,Pairwise-MassPreserving,16,3,1434,1349,23,62,0.01603905160390516,0.043235704323570434
direct,Pairwise-MassPreserving,16,4,1198,1128,25,45,0.020868113522537562,0.037562604340567615
direct,Pairwise-MassPreserving,16,5,1023,945,17,61,0.016617790811339198,0.059628543499511244
direct,Pairwise-MassPreserving,16,6,848,761,20,67,0.02358490566037736,0.07900943396226415
direct,Pairwise-MassPreserving,16,7,691,608,23,60,0.03328509406657019,0.08683068017366136
direct,Pairwise-MassPreserving,32,1,1913,1873,4,36,0.0020909566126502874,0.01881860951385259
direct,Pairwise-MassPreserving,32,2,1690,1641,13,36,0.007692307692307693,0.021301775147928994
direct,Pairwise-MassPreserving,32,3,1434,1371,23,40,0.01603905160390516,0.02789400278940028
direct,Pairwise-MassPreserving,32,4,1198,1151,25,22,0.020868113522537562,0.018363939899833055
direct,Pairwise-MassPreserving,32,5,1023,975,17,31,0.016617790811339198,0.030303030303030304
direct,Pairwise-MassPreserving,32,6,848,799,20,29,0.02358490566037736,0.03419811320754717
direct,Pairwise-MassPreserving,32,7,691,638,23,30,0.03328509406657019,0.04341534008683068
direct,Pairwise-MassPreserving,64,1,1913,1894,4,15,0.0020909566126502874,0.007841087297438577
direct,Pairwise-MassPreserving,64,2,1690,1658,13,19,0.007692307692307693,0.011242603550295858
direct,Pairwise-MassPreserving,64,3,1434,1388,23,23,0.01603905160390516,0.01603905160390516
direct,Pairwise-MassPreserving,64,4,1198,1158,25,15,0.020868113522537562,0.012520868113522538
direct,Pairwise-MassPreserving,64,5,1023,990,17,16,0.016617790811339198,0.015640273704789834
direct,Pairwise-MassPreserving,64,6,848,817,20,11,0.02358490566037736,0.012971698113207548
direct,Pairwise-MassPreserving,64,7,691,657,23,11,0.03328509406657019,0.015918958031837915
direct,Pairwise-MassPreserving,128,1,1913,1903,4,6,0.0020909566126502874,0.0031364349189754314
direct,Pairwise-MassPreserving,128,2,1690,1668,13,9,0.007692307692307693,0.0053254437869822485
direct,Pairwise-MassPreserving,128,3,1434,1399,23,12,0.01603905160390516,0.008368200836820083
direct,Pairwise-MassPreserving,128,4,1198,1167,25,6,0.020868113522537562,0.005008347245409015
direct,Pairwise-MassPreserving,128,5,1023,1003,17,3,0.016617790811339198,0.002932551319648094
direct,Pairwise-MassPreserving,128,6,848,821,20,7,0.02358490566037736,0.008254716981132075
direct,Pairwise-MassPreserving,128,7,691,662,23,6,0.03328509406657019,0.008683068017366137
direct,Pairwise-MassPreserving,256,1,1913,1907,4,2,0.0020909566126502874,0.0010454783063251437
direct,Pairwise-MassPreserving,256,2,1690,1674,13,3,0.007692307692307693,0.0017751479289940828
direct,Pairwise-MassPreserving,256,3,1434,1409,23,2,0.01603905160390516,0.001394700139470014
direct,Pairwise-MassPreserving,256,4,1198,1173,25,0,0.020868113522537562,0.0
direct,Pairwise-MassPreserving,256,5,1023,1004,17,2,0.016617790811339198,0.0019550342130987292
direct,Pairwise-MassPreserving,256,6,848,826,20,2,0.02358490566037736,0.0023584905660377358
direct,Pairwise-MassPreserving,256,7,691,667,23,1,0.03328509406657019,0.001447178002894356
direct,Pairwise-after-root,1,1,1913,1695,4,214,0.0020909566126502874,0.11186617877679038
direct,Pairwise-after-root,1,2,1690,0,13,1677,0.007692307692307693,0.9923076923076923
direct,Pairwise-after-root,1,3,1434,0,23,1411,0.01603905160390516,0.9839609483960948
direct,Pairwise-after-root,1,4,1198,0,25,1173,0.020868113522537562,0.9791318864774624
direct,Pairwise-after-root,1,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Pairwise-after-root,1,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Pairwise-after-root,1,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Pairwise-after-root,2,1,1913,1724,4,185,0.0020909566126502874,0.0967067433350758
direct,Pairwise-after-root,2,2,1690,1411,13,266,0.007692307692307693,0.15739644970414202
direct,Pairwise-after-root,2,3,1434,0,23,1411,0.01603905160390516,0.9839609483960948
direct,Pairwise-after-root,2,4,1198,0,25,1173,0.020868113522537562,0.9791318864774624
direct,Pairwise-after-root,2,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Pairwise-after-root,2,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Pairwise-after-root,2,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Pairwise-after-root,4,1,1913,1763,4,146,0.0020909566126502874,0.07631991636173549
direct,Pairwise-after-root,4,2,1690,1482,13,195,0.007692307692307693,0.11538461538461539
direct,Pairwise-after-root,4,3,1434,1198,23,213,0.01603905160390516,0.14853556485355648
direct,Pairwise-after-root,4,4,1198,961,25,212,0.020868113522537562,0.17696160267111852
direct,Pairwise-after-root,4,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,Pairwise-after-root,4,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,Pairwise-after-root,4,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,Pairwise-after-root,7,1,1913,1813,4,96,0.0020909566126502874,0.0501829587036069
direct,Pairwise-after-root,7,2,1690,1543,13,134,0.007692307692307693,0.07928994082840236
direct,Pairwise-after-root,7,3,1434,1268,23,143,0.01603905160390516,0.099721059972106
direct,Pairwise-after-root,7,4,1198,1049,25,124,0.020868113522537562,0.10350584307178631
direct,Pairwise-after-root,7,5,1023,828,17,178,0.016617790811339198,0.1739980449657869
direct,Pairwise-after-root,7,6,848,640,20,188,0.02358490566037736,0.22169811320754718
direct,Pairwise-after-root,7,7,691,482,23,186,0.03328509406657019,0.2691751085383502
direct,Pairwise-after-root,8,1,1913,1825,4,84,0.0020909566126502874,0.04391008886565604
direct,Pairwise-after-root,8,2,1690,1559,13,118,0.007692307692307693,0.06982248520710059
direct,Pairwise-after-root,8,3,1434,1295,23,116,0.01603905160390516,0.08089260808926081
direct,Pairwise-after-root,8,4,1198,1074,25,99,0.020868113522537562,0.08263772954924875
direct,Pairwise-after-root,8,5,1023,873,17,133,0.016617790811339198,0.1300097751710655
direct,Pairwise-after-root,8,6,848,680,20,148,0.02358490566037736,0.17452830188679244
direct,Pairwise-after-root,8,7,691,526,23,142,0.03328509406657019,0.20549927641099855
direct,Pairwise-after-root,16,1,1913,1862,4,47,0.0020909566126502874,0.024568740198640877
direct,Pairwise-after-root,16,2,1690,1609,13,68,0.007692307692307693,0.040236686390532544
direct,Pairwise-after-root,16,3,1434,1349,23,62,0.01603905160390516,0.043235704323570434
direct,Pairwise-after-root,16,4,1198,1124,25,49,0.020868113522537562,0.040901502504173626
direct,Pairwise-after-root,16,5,1023,949,17,57,0.016617790811339198,0.05571847507331378
direct,Pairwise-after-root,16,6,848,762,20,66,0.02358490566037736,0.07783018867924528
direct,Pairwise-after-root,16,7,691,610,23,58,0.03328509406657019,0.08393632416787265
direct,Pairwise-after-root,32,1,1913,1874,4,35,0.0020909566126502874,0.018295870360690015
direct,Pairwise-after-root,32,2,1690,1642,13,35,0.007692307692307693,0.020710059171597635
direct,Pairwise-after-root,32,3,1434,1369,23,42,0.01603905160390516,0.029288702928870293
direct,Pairwise-after-root,32,4,1198,1150,25,23,0.020868113522537562,0.019198664440734557
direct,Pairwise-after-root,32,5,1023,975,17,31,0.016617790811339198,0.030303030303030304
direct,Pairwise-after-root,32,6,848,799,20,29,0.02358490566037736,0.03419811320754717
direct,Pairwise-after-root,32,7,691,639,23,29,0.03328509406657019,0.041968162083936326
direct,Pairwise-after-root,64,1,1913,1890,4,19,0.0020909566126502874,0.009932043910088865
