scope,method,budget,depth,N,covered,candidate_failures,ranking_budget_failures,candidate_failure_rate,ranking_budget_failure_rate
realized,Unary-Truncated,1,2,1909,0,47,1862,0.02462022001047669,0.9753797799895233
realized,Unary-Truncated,1,3,1902,0,142,1760,0.07465825446898001,0.92534174553102
realized,Unary-Truncated,1,4,1898,0,251,1647,0.1322444678609062,0.8677555321390937
realized,Unary-Truncated,1,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Unary-Truncated,1,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Unary-Truncated,1,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Unary-Truncated,2,1,1913,1731,4,178,0.0020909566126502874,0.0930475692629378
realized,Unary-Truncated,2,2,1909,1407,47,455,0.02462022001047669,0.23834468308014667
realized,Unary-Truncated,2,3,1902,0,142,1760,0.07465825446898001,0.92534174553102
realized,Unary-Truncated,2,4,1898,0,251,1647,0.1322444678609062,0.8677555321390937
realized,Unary-Truncated,2,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Unary-Truncated,2,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Unary-Truncated,2,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Unary-Truncated,4,1,1913,1766,4,143,0.0020909566126502874,0.07475169890224778
realized,Unary-Truncated,4,2,1909,1485,47,377,0.02462022001047669,0.19748559455212153
realized,Unary-Truncated,4,3,1902,1164,142,596,0.07465825446898001,0.31335436382754994
realized,Unary-Truncated,4,4,1898,911,251,736,0.1322444678609062,0.38777660695468913
realized,Unary-Truncated,4,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Unary-Truncated,4,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Unary-Truncated,4,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Unary-Truncated,7,1,1913,1808,4,101,0.0020909566126502874,0.05279665446941976
realized,Unary-Truncated,7,2,1909,1549,47,313,0.02462022001047669,0.1639601885804086
realized,Unary-Truncated,7,3,1902,1264,142,496,0.07465825446898001,0.2607781282860147
realized,Unary-Truncated,7,4,1898,1022,251,625,0.1322444678609062,0.3292939936775553
realized,Unary-Truncated,7,5,1895,769,357,769,0.18839050131926122,0.4058047493403694
realized,Unary-Truncated,7,6,1895,579,483,833,0.25488126649076515,0.4395778364116095
realized,Unary-Truncated,7,7,1887,443,601,843,0.3184949655537891,0.4467408585055644
realized,Unary-Truncated,8,1,1913,1823,4,86,0.0020909566126502874,0.04495556717198118
realized,Unary-Truncated,8,2,1909,1570,47,292,0.02462022001047669,0.15295966474594028
realized,Unary-Truncated,8,3,1902,1286,142,474,0.07465825446898001,0.24921135646687698
realized,Unary-Truncated,8,4,1898,1051,251,596,0.1322444678609062,0.31401475237091675
realized,Unary-Truncated,8,5,1895,807,357,731,0.18839050131926122,0.38575197889182056
realized,Unary-Truncated,8,6,1895,617,483,795,0.25488126649076515,0.41952506596306066
realized,Unary-Truncated,8,7,1887,464,601,822,0.3184949655537891,0.4356120826709062
realized,Unary-Truncated,16,1,1913,1860,4,49,0.0020909566126502874,0.02561421850496602
