pairwise_budget,unary_full_budget,mean_paired_difference,ci_low,ci_high,bootstrap_probability_positive,exploratory_noninferiority_margin,exploratory_noninferior
8,16,-0.12388917929952953,-0.18117659517220588,-0.07074356850616645,0.0,0.1,False
16,64,-0.03240982749607946,-0.09306295585005037,0.025515930816261037,0.1359,0.1,True
32,256,-0.00836382645060115,-0.0558436709835284,0.0383124162825062,0.3547,0.1,True
64,256,0.24621014113957135,0.20195086517451133,0.28966279205259177,1.0,0.1,True
