budget,mean_paired_difference,ci_low,ci_high,bootstrap_probability_positive
1,0.0005227391531625719,-0.007042444471601845,0.00796822674424375,0.5289
2,0.0015682174594877157,-0.010608746713081233,0.014107570274622372,0.5787
4,0.012545739675901725,-0.0009960531937089547,0.026372763007290724,0.963
7,0.017250392054364874,0.0,0.034210526315789476,0.9739
8,0.015682174594877155,-0.00223469936135378,0.032967181467181465,0.9546
16,0.009409304756926294,-0.0017351572329782185,0.02062975027144408,0.9428
32,0.015682174594877155,0.0032376877948575114,0.02832288110925881,0.9908
64,0.009409304756926294,-0.004969767397139098,0.023752056675784575,0.8916
128,0.007841087297438577,-0.0030182226862434046,0.020277671483270605,0.9044
256,0.015159435441714584,0.005396409612915605,0.025141171910969103,0.9988
