scope,method,budget,depth,hits,N,coverage
direct,Pairwise-after-root,7,7,482,691,0.6975397973950795
direct,Pairwise-after-root,8,7,526,691,0.7612156295224313
direct,Pairwise-after-root,16,7,610,691,0.8827785817655571
direct,Pairwise-after-root,32,7,639,691,0.9247467438494935
direct,Pairwise-after-root,64,7,656,691,0.9493487698986975
direct,Pairwise-after-root,128,7,662,691,0.9580318379160637
direct,Pairwise-after-root,256,7,667,691,0.9652677279305355
direct,DFlash2-GreedyPath,1,7,0,691,0.0
direct,DFlash2-GreedyPath,2,7,0,691,0.0
direct,DFlash2-GreedyPath,4,7,0,691,0.0
direct,DFlash2-GreedyPath,7,7,568,691,0.8219971056439942
direct,DFlash2-GreedyPath,8,7,568,691,0.8219971056439942
direct,DFlash2-GreedyPath,16,7,568,691,0.8219971056439942
direct,DFlash2-GreedyPath,32,7,568,691,0.8219971056439942
direct,DFlash2-GreedyPath,64,7,568,691,0.8219971056439942
direct,DFlash2-GreedyPath,128,7,568,691,0.8219971056439942
direct,DFlash2-GreedyPath,256,7,568,691,0.8219971056439942
direct,Oracle-Lattice,1,7,0,691,0.0
direct,Oracle-Lattice,2,7,0,691,0.0
direct,Oracle-Lattice,4,7,0,691,0.0
direct,Oracle-Lattice,7,7,668,691,0.9667149059334298
direct,Oracle-Lattice,8,7,668,691,0.9667149059334298
direct,Oracle-Lattice,16,7,668,691,0.9667149059334298
direct,Oracle-Lattice,32,7,668,691,0.9667149059334298
direct,Oracle-Lattice,64,7,668,691,0.9667149059334298
direct,Oracle-Lattice,128,7,668,691,0.9667149059334298
direct,Oracle-Lattice,256,7,668,691,0.9667149059334298
