depth,N,mean,std,min,p05,p25,median,p75,p95,max
1,1913,0.9963467068779363,0.014497080137155092,0.7536125183105469,0.9843988418579102,0.9985743165016174,0.9998855590820312,0.9999923706054688,1.0,1.0
2,1913,0.9864534457753107,0.03667821953223501,0.5345396399497986,0.9286306738853455,0.9912324547767639,0.9990372657775879,0.9999294281005859,0.9999980926513672,1.0
3,1913,0.9725105995541148,0.057630263036409494,0.5046022534370422,0.8563231468200684,0.9765332341194153,0.9965745806694031,0.9996986985206604,0.9999961853027344,1.0
4,1913,0.9557959003655373,0.07718049795237245,0.41930854320526123,0.781523597240448,0.9473012089729309,0.9913742542266846,0.9991668462753296,0.9999809265136719,1.0
5,1913,0.9348046515415429,0.09562590809435213,0.42190781235694885,0.7166109561920166,0.9086280465126038,0.9815040826797485,0.998014509677887,0.9999530792236329,1.0
6,1913,0.9099593098351797,0.11348714863586785,0.4200177490711212,0.6617670178413391,0.8557842969894409,0.9630268812179565,0.9956398010253906,0.9998851776123047,1.0
7,1913,0.8843767161121309,0.12811222168965744,0.4192109704017639,0.6181484580039979,0.8075695633888245,0.9348729252815247,0.9907013177871704,0.9997192978858948,1.0
