dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
GSM8K,original,Sequential-Baseline,baseline,,1,50.13492868191278,51.71519696976389,nan,nan,0.0,1.0,32.0,19.493397000019286,0.6382775609999953,8.598748683929443,8.68359375,1.0
GSM8K,original,Raw-DFlash,dflash,,1,176.48956183649557,203.86678332693754,3.5202914709673827,3.9421059045009823,4.5,5.5,6.0,19.549379000011413,0.18131383899998355,8.622400283813477,8.68359375,1.0
GSM8K,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,1,160.6587974649053,196.06137811723698,3.204528293721624,3.7911753141318862,4.833333333333333,5.833333333333333,6.0,30.405059999964124,0.19917987999997422,8.631093502044678,8.68359375,1.0
GSM8K,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,1,173.61829716787875,200.18704476525252,3.4630207269151887,3.870951992743933,6.833333333333333,7.833333333333333,6.0,19.648936000010053,0.18431237100003273,8.640423774719238,8.71875,1.0
GSM8K,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,1,200.39887517363323,236.6693160317135,3.9971907897802854,4.576397846267239,5.4,6.4,5.0,19.52826100000493,0.15968153500000426,8.672500133514404,8.71875,1.0
GSM8K,dflash2,Sequential-Baseline,baseline,,1,52.10970479629062,53.765267542407415,nan,nan,0.0,1.0,32.0,18.899665999981607,0.614089067000009,10.227845191955566,10.28125,1.0
GSM8K,dflash2,Raw-DFlash2,dflash2,,1,115.71299188806965,128.02533621404993,2.220565100885134,2.3811903495703763,2.4444444444444446,3.4444444444444446,9.0,19.033074999981636,0.27654630199998564,10.240797519683838,10.28125,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,1,106.89233098600161,123.92386452358487,2.0512941188953087,2.3049055680014945,2.5555555555555554,3.4444444444444446,9.0,32.209347999980764,0.29936665899998616,10.245946407318115,10.28125,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,1,141.3771562932227,160.66019854398726,2.7130676876006117,2.988178165713885,3.4285714285714284,4.428571428571429,7.0,19.07537800002501,0.22634491200000184,10.245946407318115,10.28125,1.0
