dataset,is_primary,comparison_type,left_method,right_method,prompts,matched_tokens_gain,committed_tokens_gain,target_calls_avoided,draft_stage_ms_per_call_left,draft_stage_ms_per_call_right,draft_stage_ms_per_call_change,tree_overhead_ms_per_call,verify_stage_ms_per_call_left,verify_stage_ms_per_call_right,verify_stage_ms_per_call_change,net_tokens_per_second_gain
GSM8K,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,0.38003579912060914,0.37626661192977356,2.9375,7.4836463754214275,7.50467779029977,-0.021031414878342147,0.11405477199281933,20.359734547608284,20.37204816714886,-0.012313619540577747,11.52939724120566
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,16,0.18686549173917386,0.18348755259346974,2.0625,7.47374803909298,7.484231566464822,-0.010483527371841994,0.08515672704570551,20.014112283426936,20.038759786602505,-0.02464750317556863,5.964360357177734
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,16,0.4456201599655273,0.4455810499583787,3.4375,7.493261548921319,7.51194024473357,-0.01867869581225179,-0.14026424956750336,20.482787804089842,20.47288110261939,0.009906701470452361,14.788496196138352
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,16,0.6257316357397967,0.6253609699218057,4.3125,7.4731134947146955,7.506985367484322,-0.033871872769626776,-1.5534248085382054,20.322816953965386,20.33923843854315,-0.016421484577762158,28.38640439481895
GSM8K,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,16,0.2752016243522011,0.2752710776591425,3.0625,7.47374803909298,6.772098965430656,0.701649073662324,0.7363068529718766,20.014112283426936,20.970113387028434,-0.9560011036014977,3.250017566929169
GSM8K,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,16,0.46106234543425473,0.460928442707187,3.5625,7.493261548921319,7.501068767299577,-0.007807218378258263,0.1304534671611989,20.482787804089842,20.442715587040514,0.040072217049328174,13.504622456836408
GSM8K,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,16,0.656034666042827,0.6555456290127148,4.5625,7.4731134947146955,7.4941979935841285,-0.021084498869432977,0.14520218361198836,20.322816953965386,20.309789161404094,0.013027792561292273,19.581458179023983
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,-0.5914136968547716,-0.6130357597056095,-2.375,7.4836463754214275,4.5865557757714415,2.897090599649986,0.9021276223252297,20.359734547608284,21.674937413153756,-1.3152028655454728,-39.914216103353894
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,-1.434381799039296,-1.4560038618901339,-7.75,7.4836463754214275,4.59336652572709,2.8902798496943376,0.4089806837883037,20.359734547608284,20.793899461340906,-0.4341649137326229,-66.2006999947659
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,16,-0.20109893672372484,-0.22302052755978935,0.5,7.493261548921319,4.5865557757714415,2.906705773149877,1.1875671035601698,20.482787804089842,21.674937413153756,-1.1921496090639145,-30.130669591255973
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,16,-1.7231614691116133,-1.7450830599476779,-7.375,7.493261548921319,4.57955883600568,2.9137027129156383,0.6569281753994447,20.482787804089842,20.86035339102434,-0.37756558693449804,-76.86056250434675
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,16,0.11983114728849459,0.09720556057906748,2.5,7.4731134947146955,4.5865557757714415,2.886557718943254,1.745317526904031,20.322816953965386,21.674937413153756,-1.3521204591883702,-22.544160792327823
GSM8K,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,16,-1.7614626703609173,-1.7840882570703447,-6.9375,7.4731134947146955,4.579524969947281,2.8935885247674147,1.1461442382464004,20.322816953965386,20.710320161890543,-0.3875032079251568,-81.43565809118135
