dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
GSM8K,original,Sequential-Baseline,baseline,,16,52.06613259859784,52.29518693938721,nan,nan,0.0,1.0,245.1875,20.465223708339884,4.715933031343726,8.638988018035889,8.791015625,1.0
GSM8K,original,Raw-DFlash,dflash,,16,226.95550390448895,232.6292321514659,4.359287640863142,4.448808735108945,5.325268058446301,6.325268058446301,40.6875,20.22473850001679,1.111886750468765,8.66802167892456,8.791015625,1.0
GSM8K,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,16,253.24198779590094,260.1349687968278,4.863993999636626,4.974562372188563,6.1682361606308245,7.1682361606308245,35.3125,20.036396677068545,0.9866970428124873,8.67433500289917,8.791015625,1.0
GSM8K,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,16,273.6853968175798,281.66885407285605,5.256612845424282,5.386362256746009,6.847330590834189,7.847330590834189,32.8125,20.125904177099585,0.9220401430520841,8.684999465942383,8.791015625,1.0
GSM8K,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,16,285.8470012033425,294.56314672217286,5.490107884340072,5.632922056527837,7.206561876095712,8.206561876095712,31.25,20.048836999987905,0.8769272225312553,8.71840524673462,8.791015625,1.0
GSM8K,dflash2,Sequential-Baseline,baseline,,16,53.42967709011358,53.65520514228869,nan,nan,0.0,1.0,245.1875,19.061718885415264,4.5958083878854,10.266508102416992,10.416015625,1.0
GSM8K,dflash2,Raw-DFlash2,dflash2,,16,165.94862668096857,169.05373744465697,3.106344997572343,3.1512486901808705,3.7631246826632054,4.745073916805882,52.125,19.61938437502416,1.4967336739687576,10.284235000610352,10.416015625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,16,163.23428389072,166.2400812347542,3.054907013463905,3.098130693136561,3.851460815276233,4.836857441871555,51.125,18.863807229166696,1.5228280388854336,10.288504600524902,10.416015625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,16,175.51189055992938,179.00881770733537,3.2846224066500955,3.3360333020122455,4.35381856247092,5.335965686810917,46.0,18.904673760407796,1.4044741552707953,10.294926643371582,10.416015625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,16,182.0363381170946,185.79972426045765,3.406274628209532,3.4620721094340388,4.678548961757048,5.656666480928132,43.625,18.846180968734437,1.3622087040729127,10.31035327911377,10.416015625,1.0
GSM8K,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,16,176.02493871734217,179.54970368389837,3.2942441557354325,3.346125734323361,4.8193675699949985,5.797112649103562,42.5,19.05107058333518,1.4048572828854256,10.343334674835205,10.416015625,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,16,169.19864424789773,172.50500095048665,3.1664338072384917,3.214816883087516,4.0383263070154065,5.020344994465026,49.0625,19.494251260390172,1.4637556758229073,10.2887864112854,10.416015625,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,16,187.04128780113504,191.08202463635195,3.5003011593452906,3.560938427449514,4.733854361591529,5.712232298740691,43.0625,19.41126827086729,1.3203654020833373,10.294314861297607,10.416015625,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,16,196.82483431323297,201.29961035449122,3.683512965971703,3.751483020459367,5.124169121722576,6.102247530886511,40.1875,19.328450437474963,1.2510923260624884,10.309654712677002,10.416015625,1.0
GSM8K,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,16,204.41134311216112,209.21979575049602,3.826035143946881,3.8996563093031504,5.445099205734795,6.422473619025368,38.1875,19.198000281259436,1.2044239289166612,10.342710018157959,10.416015625,1.0
GSM8K,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,16,183.32021185639655,187.1629718750503,3.430275750664687,3.4874444221185312,4.663106776288322,5.6413190881793245,43.75,18.993911999994378,1.3524626481666573,10.310350894927979,10.416015625,1.0
GSM8K,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,16,184.82988493313712,188.73931388831392,3.4590154795448185,3.51735553435451,4.789064539691969,5.766927990012652,42.75,19.246939343749624,1.3394831367604165,10.343330383300781,10.416015625,1.0
